timestamp,open,high,low,close,volume
2023-07-12,11.01,11.2,10.72,10.94,0
2023-07-13,10.94,11.17,10.69,10.94,0
2023-07-14,10.94,10.94,10.61,10.68,0
2023-07-17,10.68,11.4,9.86,11.31,0
2023-07-18,11.31,12.02,11.07,11.71,0
2023-07-19,11.71,11.94,11.54,11.6,0
2023-07-20,11.6,12.26,11.37,11.78,0
2023-07-21,11.78,12.03,11.06,11.48,0
2023-07-24,11.48,11.99,10.54,11.65,0
2023-07-25,11.65,11.65,10.11,10.24,0
2023-07-26,10.24,10.86,10.22,10.46,0
2023-07-27,10.46,10.98,9.89,10.51,0
2023-07-28,10.51,10.81,10.03,10.14,0
2023-07-31,10.14,11.19,10.14,10.41,0
2023-08-01,10.41,10.7,10.19,10.28,0
2023-08-02,10.28,11.81,9.95,11.28,0
2023-08-03,11.28,11.96,10.98,11.19,0
2023-08-04,11.19,11.19,10.48,10.57,0
2023-08-07,10.57,11.42,10.4,11.1,0
2023-08-08,11.1,11.53,11.1,11.32,0
2023-08-09,11.32,11.77,10.48,11.14,0
2023-08-10,11.14,11.91,10.63,11.4,0
2023-08-11,11.4,11.86,11.35,11.52,0
2023-08-14,11.52,12.76,10.48,11.99,0
2023-08-16,11.99,12.68,11.99,12.12,0
2023-08-17,12.12,12.66,12.11,12.24,0
2023-08-18,12.24,12.49,10.79,12.14,0
2023-08-21,12.14,12.59,11.17,11.96,0
2023-08-22,11.96,12.09,11.59,11.75,0
2023-08-23,11.75,11.89,10.31,11.73,0
2023-08-24,11.73,12.23,10.2,11.7,0
2023-08-25,11.7,12.24,9.98,12.08,0
2023-08-28,12.08,12.72,9.5,12.4,0
2023-08-29,12.4,12.46,10.65,12.23,0
2023-08-30,12.23,12.24,11.46,11.8,0
2023-08-31,11.8,12.28,11.76,12.06,0
2023-09-01,12.06,12.18,10.41,11.36,0
2023-09-04,11.36,11.54,10.86,10.96,0
2023-09-05,10.96,11.09,9.36,10.81,0
2023-09-06,10.81,10.98,9.81,10.68,0
2023-09-07,10.68,11.02,9.8,10.87,0
2023-09-08,10.87,10.97,10.08,10.78,0
2023-09-11,10.78,11.5,10.34,11.35,0
2023-09-12,11.35,12.02,10.71,11.69,0
2023-09-13,11.69,12.05,11.53,11.83,0
2023-09-14,11.83,12.04,11.21,11.32,0
2023-09-15,11.32,11.32,10.07,10.9,0
2023-09-18,10.9,11.41,10.45,10.84,0
2023-09-20,10.84,11.47,10.84,11.13,0
2023-09-21,11.13,11.39,10.62,10.82,0
2023-09-22,10.82,11.07,10.39,10.66,0
2023-09-25,10.66,11.31,10.27,10.9,0
2023-09-26,10.9,11.29,9.25,11.19,0
2023-09-27,11.19,11.82,9.39,11.55,0
